"Rank","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"67","","Calvin Ridley","ATL","WR31","at GB","51","80","69.1","3.6"
"68","","Theo Riddick","DET","RB31","at ARI","49","133","70.8","12.5"
"69","","Golden Tate","PHI","WR32","at DAL","51","87","71.3","5.0"
"70","","David Njoku","CLE","TE7","vs. CAR","35","131","72.2","11.7"
"71","","Jalen Richard","OAK","RB32","vs. PIT","48","109","72.5","8.6"
"72","","Jordan Howard","CHI","RB33","vs. LAR","56","128","72.6","7.3"
"73","","Doug Baldwin","SEA","WR33","vs. MIN","55","117","74.0","3.4"
"74","","Chris Thompson","WAS","RB34","vs. NYG","59","112","76.8","9.6"
"75","","Josh Reynolds","LAR","WR34","at CHI","65","106","79.7","6.3"
"76","","Demaryius Thomas","HOU","WR35","vs. IND","66","94","80.2","4.1"
"77","","Isaiah Crowell","NYJ","RB35","at BUF","44","146","80.7","12.2"
"78","","Cameron Brate","TB","TE8","vs. NO","48","131","81.2","11.4"
"79","","Tre'Quan Smith","NO","WR36","at TB","62","120","81.3","7.6"
"87","","Doug Martin","OAK","RB38","vs. PIT","50","160","82.4","16.3"
"80","","Mike Williams","LAC","WR37","vs. CIN","53","105","84.7","6.4"
"81","","Anthony Miller","CHI","WR38","vs. LAR","71","121","85.8","6.3"
"83","","Curtis Samuel","CAR","WR39","at CLE","66","119","88.0","9.3"
"84","","Jordan Reed","WAS","TE9","vs. NYG","57","131","88.2","9.7"
"85","","Peyton Barber","TB","RB37","vs. NO","53","132","88.4","13.4"
"86","","Mohamed Sanu","ATL","WR40","at GB","70","126","88.8","6.6"
"88","","Taylor Gabriel","CHI","WR41","vs. LAR","72","130","89.1","7.1"
"89","","Sterling Shepard","NYG","WR42","at WAS","77","137","90.2","8.3"
"90","","Austin Hooper","ATL","TE10","at GB","55","135","91.0","9.4"
"91","","LeGarrette Blount","DET","RB39","at ARI","48","172","91.3","20.5"
"92","","Vance McDonald","PIT","TE11","at OAK","63","121","93.6","11.8"
"93","","Zay Jones","BUF","WR43","vs. NYJ","66","113","94.9","9.8"
"94","","Marquez Valdes-Scantling","GB","WR44","vs. ATL","82","126","97.4","8.8"
"97","","Dante Pettis","SF","WR47","vs. DEN","54","132","97.4","17.1"
"95","","Michael Gallup","DAL","WR45","vs. PHI","86","133","99.3","5.1"
"96","","Antonio Callaway","CLE","WR46","vs. CAR","73","137","100.3","8.7"
"98","","Nyheim Hines","IND","RB40","at HOU","65","150","101.3","14.3"
"99","","John Brown","BAL","WR48","at KC","82","139","101.5","11.9"
"100","","Devante Parker","MIA","WR49","vs. NE","86","129","101.6","5.7"
"101","","Duke Johnson","CLE","RB41","vs. CAR","60","162","101.8","16.1"
"102","","David Moore","SEA","WR50","vs. MIN","81","126","104.1","7.3"
"103","","Michael Crabtree","BAL","WR51","at KC","82","138","104.8","13.1"
"104","","Trey Burton","CHI","TE12","vs. LAR","65","148","105.1","13.9"
"105","","C.J. Uzomah","CIN","TE13","at LAC","83","160","106.9","15.1"
"106","","Tyrell Williams","LAC","WR52","vs. CIN","76","145","107.8","6.4"
"107","","Dede Westbrook","JAC","WR53","at TEN","84","137","110.7","5.6"
"108","","Rashaad Penny","SEA","RB42","vs. MIN","52","161","110.9","18.7"
"112","","Donte Moncrief","JAC","WR55","at TEN","85","128","112.0","6.8"
"109","","Kyle Rudolph","MIN","TE14","at SEA","91","132","112.1","11.6"
"110","","Kenny Stills","MIA","WR54","vs. NE","70","134","112.8","10.7"
"111","","Frank Gore","MIA","RB43","vs. NE","90","158","113.4","12.0"
"113","","Josh Doctson","WAS","WR56","vs. NYG","56","143","113.9","5.4"
"114","","Jordy Nelson","OAK","WR57","vs. PIT","95","139","115.6","9.1"
"115","","John Ross","CIN","WR58","at LAC","96","144","115.6","8.7"
"118","","Devin Funchess","CAR","WR60","at CLE","83","147","115.7","12.9"
